"min degree heuristic" "min fill heurisic" "random (no heuristic)"
0.03642416000366211 0.026996850967407227 0.02939295768737793
0.060701847076416016 0.05400276184082031 0.05820107460021973
0.08968496322631836 0.08374500274658203 0.08634233474731445
0.12093400955200195 0.11507797241210938 0.1303250789642334
0.14862704277038574 0.14196515083312988 0.16574525833129883
0.17768073081970215 0.1721029281616211 0.19965410232543945
0.19904398918151855 0.20049190521240234 0.2894279956817627
0.2276289463043213 0.22731304168701172 0.2632930278778076
0.2538728713989258 0.25397419929504395 0.3225688934326172
0.3116018772125244 0.28635334968566895 4.003194808959961
