"min degree heuristic" "min fill heurisic" "random (no heuristic)"
0.03624021541327238 0.027479486539959908 0.028852748684585094
0.0602163216099143 0.053971432615071535 0.058990842662751675
0.08988987747579813 0.08333894843235612 0.09082212997600436
0.12116165878251195 0.11482758959755301 0.1320854378864169
0.14748786203563213 0.14522058656439185 0.16816598130390048
0.17706704838201404 0.17315293569117785 0.20079176034778357
0.2006084374152124 0.199689167086035 0.27384398598223925
0.2263598614372313 0.22671383852139115 0.2766398093663156
0.25132830115035176 0.25257788598537445 0.35143202217295766
0.2974211727268994 0.2857295935973525 2.202077693771571
